queue_id,restaurant_id,restaurant_name,website_url,source_url,reason,priority,details,created_at
a146d5aa-8e32-40e6-a4c8-0e38a882c35b,2f71edb7-9266-5923-9696-051e0fd815b5,Chick-fil-A,https://www.chick-fil-a.com/locations/wa/i-5-alderwood?utm_source=google&utm_medium=gmb,https://www.chick-fil-a.com/locations/wa/i-5-alderwood?utm_source=google&utm_medium=gmb,menu_not_found_or_not_parsed,2,"{""candidates"": [""https://order.chick-fil-a.com/load-dot-com?myRewards=true"", ""http://order.chick-fil-a.com/load-dot-com?myAccount=true"", ""https://www.chick-fil-a.com/menu/breakfast"", ""https://www.chick-fil-a.com/menu/entrees"", ""https://www.chick-fil-a.com/menu/salads"", ""https://www.chick-fil-a.com/menu/sides"", ""https://www.chick-fil-a.com/menu/kidsmeals"", ""https://www.chick-fil-a.com/menu/family-style-meals""], ""restaurant_name"": ""Chick-fil-A""}",2026-06-15 03:34:24.467547+00:00
75c99426-3587-4043-ab28-060af18b07d0,688896b4-d1c3-5894-bf44-750195ecd597,Feast Buffet,http://www.feastbuffetrenton.com/,http://www.feastbuffetrenton.com/,menu_not_found_or_not_parsed,2,"{""candidates"": [""http://www.feastbuffetrenton.com/menu"", ""http://www.feastbuffetrenton.com/menus"", ""http://www.feastbuffetrenton.com/food-menu"", ""http://www.feastbuffetrenton.com/restaurant-menu"", ""http://www.feastbuffetrenton.com/order-online"", ""http://www.feastbuffetrenton.com/online-ordering"", ""http://www.feastbuffetrenton.com/takeout""], ""restaurant_name"": ""Feast Buffet""}",2026-06-15 03:34:58.047694+00:00
c46e76c7-d21b-47e8-9264-2564b7dd279f,1fed3f44-afee-50cc-ab73-2bc73adecca9,Chick-fil-A,https://www.chick-fil-a.com/locations/wa/38th-steele?utm_source=google&utm_medium=gmb,https://www.chick-fil-a.com/locations/wa/38th-steele?utm_source=google&utm_medium=gmb,menu_not_found_or_not_parsed,2,"{""candidates"": [""https://order.chick-fil-a.com/load-dot-com?myRewards=true"", ""http://order.chick-fil-a.com/load-dot-com?myAccount=true"", ""https://www.chick-fil-a.com/menu/breakfast"", ""https://www.chick-fil-a.com/menu/entrees"", ""https://www.chick-fil-a.com/menu/salads"", ""https://www.chick-fil-a.com/menu/sides"", ""https://www.chick-fil-a.com/menu/kidsmeals"", ""https://www.chick-fil-a.com/menu/family-style-meals""], ""restaurant_name"": ""Chick-fil-A""}",2026-06-15 03:36:24.173668+00:00
0ffc9915-b764-424a-8781-6a93d41b2224,b750ee07-89b9-59d3-b173-de4dfda0786a,Din Tai Fung,https://dtf.com/en/locations/seattle-pacific-place,https://dtf.com/en/locations/seattle-pacific-place,menu_not_found_or_not_parsed,2,"{""candidates"": [""https://dtf.com/en-us/menu"", ""https://order.dtf.com/menu/din-tai-fung-pp?_gl=1*bngn4v*_gcl_au*MTczNDg5NzQ0NS4xNzIxMTM4NzUx"", ""https://www.order.store/store/Din%20Tai%20Fung%20(Pacific%20Place)/5HIhoEW8QymFLtjy4afmow"", ""https://dtf.com/en-us/menu/cucumber-salad"", ""https://dtf.com/en-us/menu/chicken-dumplings"", ""https://dtf.com/en-us/menu/kurobuta-pork-xiao-long-bao"", ""https://dtf.com/menu"", ""https://dtf.com/menus""], ""restaurant_name"": ""Din Tai Fung""}",2026-06-15 03:36:50.274736+00:00
b7426f2d-bf07-4972-a4c3-63815677a48b,ad701eb0-4fea-588f-bf84-ac651781a5a7,The Cheesecake Factory,https://locations.thecheesecakefactory.com/wa/tukwila-131.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,https://locations.thecheesecakefactory.com/wa/tukwila-131.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,menu_not_found_or_not_parsed,2,"{""candidates"": [""https://www.thecheesecakefactory.com/menu"", ""https://www.thecheesecakefactory.com/order/my-bag"", ""https://www.thecheesecakefactory.com/order"", ""https://www.thecheesecakefactory.com/locations/tukwila-wa/menu/"", ""https://menu.thecheesecakefactory.com/wa/tukwila-131/?utm_source=LCTN&utm_medium=CCFWEB&utm_content=MENU&utm_campaign=CCFWEB_LCTN_MENU/"", ""https://menu.thecheesecakefactory.com/wa/tukwila-131/happy-hour/?utm_source=LCTN&utm_medium=CCFWEB&utm_content=MENU&utm_campaign=CCFWEB_LCTN_MENU/"", ""https://locations.thecheesecakefactory.com/menu"", ""https://locations.thecheesecakefactory.com/menus""], ""restaurant_name"": ""The Cheesecake Factory""}",2026-06-15 03:39:25.632602+00:00
0f5e0838-3b72-45db-99f6-2a23a095a470,7a3814ac-7a3d-549d-8a66-7ab59b3a3381,Old Stove Brewing Co — Pike Place,http://www.oldstove.com/,http://www.oldstove.com/,menu_not_found_or_not_parsed,2,"{""candidates"": [""http://www.oldstove.com/menu"", ""http://www.oldstove.com/menus"", ""http://www.oldstove.com/food-menu"", ""http://www.oldstove.com/restaurant-menu"", ""http://www.oldstove.com/order-online"", ""http://www.oldstove.com/online-ordering"", ""http://www.oldstove.com/takeout""], ""restaurant_name"": ""Old Stove Brewing Co — Pike Place""}",2026-06-15 03:41:27.104837+00:00
c4c65fd9-a908-45c7-92f4-8863de165088,98c08bc0-1e50-55c0-aefc-1d049511c338,The Cheesecake Factory,https://locations.thecheesecakefactory.com/wa/bellevue-47.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,https://locations.thecheesecakefactory.com/wa/bellevue-47.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,menu_not_found_or_not_parsed,2,"{""candidates"": [""https://www.thecheesecakefactory.com/menu"", ""https://www.thecheesecakefactory.com/order/my-bag"", ""https://www.thecheesecakefactory.com/order"", ""https://www.thecheesecakefactory.com/locations/bellevue-wa/menu/"", ""https://menu.thecheesecakefactory.com/wa/bellevue-47/?utm_source=LCTN&utm_medium=CCFWEB&utm_content=MENU&utm_campaign=CCFWEB_LCTN_MENU/"", ""https://menu.thecheesecakefactory.com/wa/bellevue-47/happy-hour/?utm_source=LCTN&utm_medium=CCFWEB&utm_content=MENU&utm_campaign=CCFWEB_LCTN_MENU/"", ""https://locations.thecheesecakefactory.com/menu"", ""https://locations.thecheesecakefactory.com/menus""], ""restaurant_name"": ""The Cheesecake Factory""}",2026-06-15 03:44:06.092797+00:00
804689b8-3851-4f3e-a41f-fd88dbbfce4a,45a2c68f-01de-5588-abfc-df8cc7bb03d1,The Cheesecake Factory,https://locations.thecheesecakefactory.com/wa/tacoma-199.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,https://locations.thecheesecakefactory.com/wa/tacoma-199.html?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,menu_not_found_or_not_parsed,2,"{""candidates"": [""https://www.thecheesecakefactory.com/menu"", ""https://www.thecheesecakefactory.com/order/my-bag"", ""https://www.thecheesecakefactory.com/order"", ""https://www.thecheesecakefactory.com/locations/tacoma-wa/menu/"", ""https://menu.thecheesecakefactory.com/wa/tacoma-199/?utm_source=LCTN&utm_medium=CCFWEB&utm_content=MENU&utm_campaign=CCFWEB_LCTN_MENU/"", ""https://menu.thecheesecakefactory.com/wa/tacoma-199/happy-hour/?utm_source=LCTN&utm_medium=CCFWEB&utm_content=MENU&utm_campaign=CCFWEB_LCTN_MENU/"", ""https://locations.thecheesecakefactory.com/menu"", ""https://locations.thecheesecakefactory.com/menus""], ""restaurant_name"": ""The Cheesecake Factory""}",2026-06-15 03:46:41.744545+00:00
fa4d8bb2-8898-4b32-bb0b-292b34b3e517,a3ba844c-fe9f-5369-b1d5-575fcc4c173a,Olive Garden Italian Restaurant,https://www.olivegarden.com/locations/wa/tacoma/tacoma/1138?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:tacoma-wa-1138_pl:locurl_rd:1092,https://www.olivegarden.com/locations/wa/tacoma/tacoma/1138?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:tacoma-wa-1138_pl:locurl_rd:1092,menu_not_found_or_not_parsed,2,"{""candidates"": [""https://www.olivegarden.com/menu"", ""https://www.olivegarden.com/menus"", ""https://www.olivegarden.com/food-menu"", ""https://www.olivegarden.com/restaurant-menu"", ""https://www.olivegarden.com/order-online"", ""https://www.olivegarden.com/online-ordering"", ""https://www.olivegarden.com/takeout""], ""restaurant_name"": ""Olive Garden Italian Restaurant""}",2026-06-15 03:54:04.415584+00:00
376d36af-f5ab-454d-884e-4c56d1238c33,b55d617f-9e71-56bd-a26f-f91c784b9b6a,Kanishka Cuisine of India,http://kanishkaredmond.com/,http://kanishkaredmond.com/,menu_not_found_or_not_parsed,2,"{""candidates"": [""https://www.kanishkaredmond.com/s/order"", ""https://squareup.com/gift/9QJMYRXTH47GS/order"", ""https://www.kanishkaredmond.com/s/order?location=11ee4923e0fd2446a4123cecef6dbae8"", ""http://kanishkaredmond.com/menu"", ""http://kanishkaredmond.com/menus"", ""http://kanishkaredmond.com/food-menu"", ""http://kanishkaredmond.com/restaurant-menu"", ""http://kanishkaredmond.com/order-online""], ""restaurant_name"": ""Kanishka Cuisine of India""}",2026-06-15 03:54:40.690002+00:00
